"","census","d_cutoff","group","x","y","density","soiltype"
"391",1,10,"1",310,310,4.55648139787474e-06,"4"
"392",1,10,"1",330,310,3.93590302476793e-06,"4"
"393",1,10,"1",350,310,3.39319324070345e-06,"4"
"394",1,10,"1",370,310,3.26055224363619e-06,"4"
"395",1,10,"1",390,310,3.1430168453781e-06,"4"
"396",1,10,"1",410,310,2.74868864083172e-06,"4"
"397",1,10,"1",430,310,2.70074220914813e-06,"2"
"398",1,10,"1",450,310,3.39227123642998e-06,"2"
"399",1,10,"1",470,310,4.07755727044302e-06,"4"
"400",1,10,"1",490,310,4.32151882274722e-06,"4"
"401",1,10,"1",10,330,6.45827125150456e-06,"1"
"402",1,10,"1",30,330,4.80105015852494e-06,"1"
"403",1,10,"1",50,330,3.87792276494384e-06,"3"
"404",1,10,"1",70,330,4.18226482055569e-06,"3"
"405",1,10,"1",90,330,4.59595691886188e-06,"3"
"406",1,10,"1",110,330,4.59329351111601e-06,"3"
"407",1,10,"1",130,330,4.40161855242855e-06,"3"
"408",1,10,"1",150,330,3.91326581231052e-06,"2"
"409",1,10,"1",170,330,3.14831992038739e-06,"4"
"410",1,10,"1",190,330,2.64407398638776e-06,"4"
"411",1,10,"1",210,330,2.74662097343205e-06,"4"
"412",1,10,"1",230,330,2.99470953226126e-06,"4"
"413",1,10,"1",250,330,3.33447807734753e-06,"4"
"414",1,10,"1",270,330,3.60581196007791e-06,"4"
"415",1,10,"1",290,330,3.29382093866142e-06,"4"
"416",1,10,"1",310,330,2.81194959774278e-06,"4"
"417",1,10,"1",330,330,2.78916138218806e-06,"4"
"418",1,10,"1",350,330,3.21870013380304e-06,"4"
"419",1,10,"1",370,330,3.67052595457561e-06,"4"
"420",1,10,"1",390,330,3.53408453760169e-06,"4"
"421",1,10,"1",410,330,2.8151779727881e-06,"4"
"422",1,10,"1",430,330,2.36749231510957e-06,"4"
"423",1,10,"1",450,330,2.64945403294463e-06,"2"
"424",1,10,"1",470,330,3.32355739307839e-06,"2"
"425",1,10,"1",490,330,4.05114244539476e-06,"4"
"426",1,10,"1",10,350,7.04896567085648e-06,"1"
"427",1,10,"1",30,350,5.2858316594467e-06,"1"
"428",1,10,"1",50,350,4.7011538425861e-06,"1"
"429",1,10,"1",70,350,4.99668092690579e-06,"1"
"430",1,10,"1",90,350,4.81494312726271e-06,"3"
"431",1,10,"1",110,350,4.30855283526036e-06,"3"
"432",1,10,"1",130,350,3.93640851437319e-06,"3"
"433",1,10,"1",150,350,3.54382685523347e-06,"2"
"434",1,10,"1",170,350,2.80268622946303e-06,"3"
"435",1,10,"1",190,350,2.3411027269878e-06,"3"
"436",1,10,"1",210,350,2.67294285359475e-06,"3"
"437",1,10,"1",230,350,3.06630541050523e-06,"3"
"438",1,10,"1",250,350,3.36191105199988e-06,"3"
"439",1,10,"1",270,350,3.31984780063768e-06,"2"
"440",1,10,"1",290,350,2.569331082194e-06,"2"
"441",1,10,"1",310,350,2.24520361777883e-06,"2"
"442",1,10,"1",330,350,2.80795346970548e-06,"4"
"443",1,10,"1",350,350,3.80558496092992e-06,"3"
"444",1,10,"1",370,350,4.40888359773694e-06,"3"
"445",1,10,"1",390,350,3.7871114914542e-06,"3"
